state,year,total_cases,Group_Name,Sub_Group_Name,crime_type,Subgroup
Haryana,2003,151,Murder - Female Victims,2. Female Victims,Murder,
Himachal Pradesh,2003,34,Murder - Female Victims,2. Female Victims,Murder,
Jammu & Kashmir,2003,102,Murder - Female Victims,2. Female Victims,Murder,
Jharkhand,2003,396,Murder - Female Victims,2. Female Victims,Murder,
Karnataka,2003,525,Murder - Female Victims,2. Female Victims,Murder,
Kerala,2003,126,Murder - Female Victims,2. Female Victims,Murder,
Madhya Pradesh,2003,454,Murder - Female Victims,2. Female Victims,Murder,
Maharashtra,2003,996,Murder - Female Victims,2. Female Victims,Murder,
Manipur,2003,11,Murder - Female Victims,2. Female Victims,Murder,
Meghalaya,2003,10,Murder - Female Victims,2. Female Victims,Murder,
Mizoram,2003,9,Murder - Female Victims,2. Female Victims,Murder,
Nagaland,2003,6,Murder - Female Victims,2. Female Victims,Murder,
Odisha,2003,333,Murder - Female Victims,2. Female Victims,Murder,
Puducherry,2003,8,Murder - Female Victims,2. Female Victims,Murder,
Punjab,2003,175,Murder - Female Victims,2. Female Victims,Murder,
Rajasthan,2003,271,Murder - Female Victims,2. Female Victims,Murder,
Sikkim,2003,6,Murder - Female Victims,2. Female Victims,Murder,
Tamil Nadu,2003,543,Murder - Female Victims,2. Female Victims,Murder,
Tripura,2003,23,Murder - Female Victims,2. Female Victims,Murder,
Uttar Pradesh,2003,999,Murder - Female Victims,2. Female Victims,Murder,
Uttarakhand,2003,62,Murder - Female Victims,2. Female Victims,Murder,
West Bengal,2003,297,Murder - Female Victims,2. Female Victims,Murder,
Andaman & Nicobar Islands,2004,5,Murder - Female Victims,2. Female Victims,Murder,
Andhra Pradesh,2004,655,Murder - Female Victims,2. Female Victims,Murder,
Arunachal Pradesh,2004,2,Murder - Female Victims,2. Female Victims,Murder,
Assam,2004,84,Murder - Female Victims,2. Female Victims,Murder,
Bihar,2004,425,Murder - Female Victims,2. Female Victims,Murder,
Chandigarh,2004,8,Murder - Female Victims,2. Female Victims,Murder,
Chhattisgarh,2004,269,Murder - Female Victims,2. Female Victims,Murder,
Dadra & Nagar Haveli,2004,2,Murder - Female Victims,2. Female Victims,Murder,
Daman & Diu,2004,1,Murder - Female Victims,2. Female Victims,Murder,
Delhi,2004,125,Murder - Female Victims,2. Female Victims,Murder,
Goa,2004,17,Murder - Female Victims,2. Female Victims,Murder,
Gujarat,2004,340,Murder - Female Victims,2. Female Victims,Murder,
Haryana,2004,159,Murder - Female Victims,2. Female Victims,Murder,
Himachal Pradesh,2004,25,Murder - Female Victims,2. Female Victims,Murder,
Jammu & Kashmir,2004,107,Murder - Female Victims,2. Female Victims,Murder,
Jharkhand,2004,399,Murder - Female Victims,2. Female Victims,Murder,
Karnataka,2004,561,Murder - Female Victims,2. Female Victims,Murder,
Kerala,2004,137,Murder - Female Victims,2. Female Victims,Murder,
Madhya Pradesh,2004,494,Murder - Female Victims,2. Female Victims,Murder,
Maharashtra,2004,1004,Murder - Female Victims,2. Female Victims,Murder,
Manipur,2004,15,Murder - Female Victims,2. Female Victims,Murder,
Meghalaya,2004,8,Murder - Female Victims,2. Female Victims,Murder,
Mizoram,2004,4,Murder - Female Victims,2. Female Victims,Murder,
Nagaland,2004,17,Murder - Female Victims,2. Female Victims,Murder,
Odisha,2004,357,Murder - Female Victims,2. Female Victims,Murder,
