state,year,total_cases,Group_Name,Sub_Group_Name,crime_type,Subgroup
Goa,2006,2,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Gujarat,2006,274,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Haryana,2006,236,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Himachal Pradesh,2006,32,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Jammu & Kashmir,2006,191,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Jharkhand,2006,12,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Karnataka,2006,618,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Kerala,2006,152,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Madhya Pradesh,2006,496,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Maharashtra,2006,145,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Manipur,2006,7,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Meghalaya,2006,13,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Mizoram,2006,5,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Nagaland,2006,61,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Odisha,2006,61,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Puducherry,2006,2,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Punjab,2006,75,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Rajasthan,2006,111,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Tamil Nadu,2006,77,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Tripura,2006,1,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Uttar Pradesh,2006,202,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Uttarakhand,2006,12,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
West Bengal,2006,68,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Andhra Pradesh,2007,349,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Arunachal Pradesh,2007,0,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Assam,2007,848,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Bihar,2007,456,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Chandigarh,2007,5,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Chhattisgarh,2007,150,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Delhi,2007,457,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Gujarat,2007,204,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Haryana,2007,325,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Himachal Pradesh,2007,7,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Jammu & Kashmir,2007,139,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Jharkhand,2007,123,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Karnataka,2007,558,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Kerala,2007,96,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Madhya Pradesh,2007,343,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Maharashtra,2007,98,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Manipur,2007,29,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Meghalaya,2007,21,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Mizoram,2007,4,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Nagaland,2007,60,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Odisha,2007,96,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Puducherry,2007,3,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Punjab,2007,213,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Rajasthan,2007,110,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Tamil Nadu,2007,181,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Tripura,2007,1,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Uttar Pradesh,2007,258,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Uttarakhand,2007,4,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
West Bengal,2007,118,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Andhra Pradesh,2008,531,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Arunachal Pradesh,2008,0,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Assam,2008,88,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Bihar,2008,92,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Chandigarh,2008,1,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Chhattisgarh,2008,68,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Dadra & Nagar Haveli,2008,2,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Delhi,2008,514,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Goa,2008,2,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Gujarat,2008,305,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Haryana,2008,241,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Himachal Pradesh,2008,27,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Jammu & Kashmir,2008,78,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Jharkhand,2008,22,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Karnataka,2008,774,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Kerala,2008,157,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Madhya Pradesh,2008,487,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Maharashtra,2008,253,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Manipur,2008,6,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Meghalaya,2008,23,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Mizoram,2008,3,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Nagaland,2008,33,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Odisha,2008,67,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Puducherry,2008,5,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Punjab,2008,86,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Rajasthan,2008,195,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Tamil Nadu,2008,58,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Tripura,2008,8,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Uttar Pradesh,2008,219,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Uttarakhand,2008,8,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
West Bengal,2008,125,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Andhra Pradesh,2009,482,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Arunachal Pradesh,2009,0,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Assam,2009,106,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Bihar,2009,173,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Chandigarh,2009,1,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Chhattisgarh,2009,70,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Dadra & Nagar Haveli,2009,3,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Delhi,2009,465,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Goa,2009,1,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Gujarat,2009,457,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Haryana,2009,431,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Himachal Pradesh,2009,15,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Jammu & Kashmir,2009,45,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Jharkhand,2009,0,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Karnataka,2009,217,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Kerala,2009,136,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Madhya Pradesh,2009,454,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Maharashtra,2009,250,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Manipur,2009,16,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Meghalaya,2009,15,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Mizoram,2009,36,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Nagaland,2009,17,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Odisha,2009,61,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Puducherry,2009,3,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Punjab,2009,97,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Rajasthan,2009,153,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Tamil Nadu,2009,80,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Tripura,2009,0,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Uttar Pradesh,2009,291,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Uttarakhand,2009,11,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
West Bengal,2009,144,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Andaman & Nicobar Islands,2010,1,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Andhra Pradesh,2010,624,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Arunachal Pradesh,2010,1,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Assam,2010,26,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Bihar,2010,309,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Chandigarh,2010,0,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Chhattisgarh,2010,139,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Delhi,2010,458,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Goa,2010,1,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Gujarat,2010,461,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Haryana,2010,435,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Himachal Pradesh,2010,36,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Jammu & Kashmir,2010,74,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Jharkhand,2010,48,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Karnataka,2010,503,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Kerala,2010,94,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Madhya Pradesh,2010,410,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Maharashtra,2010,261,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Manipur,2010,3,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Meghalaya,2010,8,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Mizoram,2010,13,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Nagaland,2010,51,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Odisha,2010,148,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Puducherry,2010,1,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Punjab,2010,87,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Rajasthan,2010,169,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Tamil Nadu,2010,114,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Tripura,2010,3,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Uttar Pradesh,2010,320,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Uttarakhand,2010,12,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
West Bengal,2010,308,AT5-Other Motor vehicles,5. Other Motor vehicles,Auto Theft,
Andaman & Nicobar Islands,2001,4,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Andhra Pradesh,2001,3115,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Arunachal Pradesh,2001,36,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Assam,2001,438,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Bihar,2001,1136,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Chandigarh,2001,494,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Chhattisgarh,2001,942,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Dadra & Nagar Haveli,2001,15,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Delhi,2001,7981,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Goa,2001,178,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Gujarat,2001,5537,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Haryana,2001,3120,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Himachal Pradesh,2001,145,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Jammu & Kashmir,2001,633,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Jharkhand,2001,239,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Karnataka,2001,3863,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Kerala,2001,1795,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Madhya Pradesh,2001,4323,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Maharashtra,2001,8887,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Manipur,2001,71,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Meghalaya,2001,57,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Mizoram,2001,20,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Nagaland,2001,119,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Odisha,2001,1011,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Puducherry,2001,284,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Punjab,2001,1270,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Rajasthan,2001,4039,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Sikkim,2001,6,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Tamil Nadu,2001,4260,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Tripura,2001,10,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Uttar Pradesh,2001,5790,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Uttarakhand,2001,374,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
West Bengal,2001,2579,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Andaman & Nicobar Islands,2002,2,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Andhra Pradesh,2002,3450,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Arunachal Pradesh,2002,51,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Assam,2002,680,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Bihar,2002,1148,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Chandigarh,2002,617,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Chhattisgarh,2002,1126,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Dadra & Nagar Haveli,2002,37,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Daman & Diu,2002,36,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Delhi,2002,7604,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Goa,2002,151,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Gujarat,2002,6256,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Haryana,2002,3054,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Himachal Pradesh,2002,152,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Jammu & Kashmir,2002,664,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Jharkhand,2002,718,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Karnataka,2002,4281,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Kerala,2002,1978,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Madhya Pradesh,2002,4845,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Maharashtra,2002,9130,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Manipur,2002,119,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Meghalaya,2002,58,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Mizoram,2002,31,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Nagaland,2002,161,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Odisha,2002,1028,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Puducherry,2002,258,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Punjab,2002,1345,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Rajasthan,2002,4433,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Sikkim,2002,5,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Tamil Nadu,2002,4677,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Tripura,2002,73,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Uttar Pradesh,2002,5689,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Uttarakhand,2002,352,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
West Bengal,2002,3438,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Andaman & Nicobar Islands,2003,5,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Andhra Pradesh,2003,4732,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Arunachal Pradesh,2003,50,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Assam,2003,756,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Bihar,2003,1340,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Chandigarh,2003,566,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Chhattisgarh,2003,1131,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Dadra & Nagar Haveli,2003,15,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Daman & Diu,2003,27,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Delhi,2003,7688,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Goa,2003,134,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Gujarat,2003,7244,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Haryana,2003,3293,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Himachal Pradesh,2003,218,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Jammu & Kashmir,2003,576,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Jharkhand,2003,347,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Karnataka,2003,4333,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Kerala,2003,1668,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Lakshadweep,2003,1,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Madhya Pradesh,2003,5208,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Maharashtra,2003,9271,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Manipur,2003,124,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Meghalaya,2003,108,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Mizoram,2003,56,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Nagaland,2003,225,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Odisha,2003,1076,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Puducherry,2003,295,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Punjab,2003,1427,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Rajasthan,2003,5267,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Sikkim,2003,3,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Tamil Nadu,2003,4581,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Tripura,2003,53,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Uttar Pradesh,2003,4720,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Uttarakhand,2003,369,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
West Bengal,2003,2581,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Andaman & Nicobar Islands,2004,9,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Andhra Pradesh,2004,4741,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Arunachal Pradesh,2004,75,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Assam,2004,894,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Bihar,2004,2083,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Chandigarh,2004,674,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Chhattisgarh,2004,1316,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Dadra & Nagar Haveli,2004,24,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Daman & Diu,2004,12,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Delhi,2004,8924,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Goa,2004,125,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Gujarat,2004,6936,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Haryana,2004,3735,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Himachal Pradesh,2004,213,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Jammu & Kashmir,2004,573,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Jharkhand,2004,718,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Karnataka,2004,5733,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Kerala,2004,1717,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Madhya Pradesh,2004,6246,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Maharashtra,2004,11307,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Manipur,2004,109,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Meghalaya,2004,140,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Mizoram,2004,0,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Nagaland,2004,122,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Odisha,2004,1404,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Puducherry,2004,322,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Punjab,2004,1188,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Rajasthan,2004,6395,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Sikkim,2004,6,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Tamil Nadu,2004,4005,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Tripura,2004,36,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Uttar Pradesh,2004,8452,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Uttarakhand,2004,471,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
West Bengal,2004,2668,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Andaman & Nicobar Islands,2005,6,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Andhra Pradesh,2005,5465,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Arunachal Pradesh,2005,119,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Assam,2005,957,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Bihar,2005,2134,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Chandigarh,2005,579,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Chhattisgarh,2005,1619,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Dadra & Nagar Haveli,2005,22,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Daman & Diu,2005,27,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Delhi,2005,8883,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Goa,2005,195,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Gujarat,2005,7098,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Haryana,2005,5276,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Himachal Pradesh,2005,172,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Jammu & Kashmir,2005,504,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Jharkhand,2005,773,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Karnataka,2005,5977,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Kerala,2005,1946,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Madhya Pradesh,2005,6551,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Maharashtra,2005,12213,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Manipur,2005,92,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Meghalaya,2005,119,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Mizoram,2005,0,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Nagaland,2005,248,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Odisha,2005,1626,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
Puducherry,2005,235,AT6-Total,6. Total (Sum of 1-5 Above),Auto Theft,
